in s,C1 in V,C2 in V
-3.199231E-02,1.130E-01,5.610E-03
-3.199030E-02,1.130E-01,6.106E-03
-3.198828E-02,1.326E-01,6.106E-03
-3.198626E-02,1.326E-01,5.362E-03
-3.198425E-02,1.130E-01,5.362E-03
-3.198223E-02,1.326E-01,6.850E-03
-3.198022E-02,1.912E-01,5.858E-03
-3.197820E-02,1.716E-01,6.106E-03
-3.197618E-02,1.716E-01,6.106E-03
-3.197417E-02,2.107E-01,5.362E-03
-3.197215E-02,1.130E-01,6.354E-03
-3.197014E-02,1.130E-01,6.106E-03
-3.196812E-02,1.716E-01,6.106E-03
-3.196610E-02,1.130E-01,5.610E-03
-3.196409E-02,1.130E-01,5.362E-03
-3.196207E-02,2.107E-01,5.610E-03
-3.196006E-02,1.912E-01,6.354E-03
-3.195804E-02,1.326E-01,5.362E-03
-3.195602E-02,1.326E-01,6.106E-03
-3.195401E-02,1.912E-01,5.858E-03
-3.195199E-02,1.130E-01,5.858E-03
-3.194998E-02,9.352E-02,6.106E-03
-3.194796E-02,1.716E-01,5.610E-03
-3.194594E-02,1.326E-01,5.610E-03
-3.194393E-02,1.521E-01,5.858E-03
-3.194191E-02,1.130E-01,5.362E-03
-3.193990E-02,1.326E-01,6.106E-03
-3.193788E-02,1.326E-01,5.858E-03
-3.193586E-02,1.716E-01,5.362E-03
-3.193385E-02,1.716E-01,5.610E-03
-3.193183E-02,1.130E-01,5.362E-03
-3.192982E-02,1.912E-01,5.362E-03
-3.192780E-02,1.716E-01,6.106E-03
-3.192578E-02,1.716E-01,6.354E-03
-3.192377E-02,1.521E-01,6.354E-03
-3.192175E-02,1.716E-01,5.858E-03
-3.191974E-02,1.521E-01,6.106E-03
-3.191772E-02,1.130E-01,6.354E-03
-3.191570E-02,1.521E-01,6.602E-03
-3.191369E-02,1.326E-01,5.610E-03
-3.191167E-02,1.912E-01,6.354E-03
-3.190966E-02,1.326E-01,5.610E-03
-3.190764E-02,1.716E-01,5.610E-03
-3.190562E-02,1.912E-01,5.858E-03
-3.190361E-02,1.326E-01,5.113E-03
-3.190159E-02,1.326E-01,6.354E-03
-3.189958E-02,1.716E-01,5.362E-03
-3.189756E-02,1.912E-01,5.362E-03
-3.189554E-02,1.716E-01,6.602E-03
-3.189353E-02,1.326E-01,6.354E-03
-3.189151E-02,1.326E-01,5.362E-03
-3.188950E-02,1.912E-01,5.858E-03
-3.188748E-02,1.326E-01,6.106E-03
-3.188546E-02,1.912E-01,6.106E-03
-3.188345E-02,1.521E-01,6.106E-03
-3.188143E-02,1.521E-01,5.362E-03
-3.187942E-02,1.912E-01,6.106E-03
-3.187740E-02,1.716E-01,5.362E-03
-3.187538E-02,1.130E-01,5.362E-03
-3.187337E-02,1.716E-01,5.362E-03
-3.187135E-02,1.130E-01,5.362E-03
-3.186934E-02,1.912E-01,6.354E-03
-3.186732E-02,1.716E-01,5.858E-03
