in s,C1 in V,C2 in V
-4.42136E-02,2.107E-01,6.090E-03
-4.42116E-02,9.352E-02,6.586E-03
-4.42095E-02,1.130E-01,6.338E-03
-4.42075E-02,1.716E-01,5.594E-03
-4.42055E-02,1.716E-01,6.090E-03
-4.42035E-02,1.912E-01,6.090E-03
-4.42015E-02,1.912E-01,5.842E-03
-4.41995E-02,1.716E-01,6.586E-03
-4.41974E-02,1.716E-01,6.338E-03
-4.41954E-02,1.326E-01,5.842E-03
-4.41934E-02,1.912E-01,5.594E-03
-4.41914E-02,1.326E-01,6.338E-03
-4.41894E-02,2.107E-01,6.338E-03
-4.41874E-02,2.107E-01,5.098E-03
-4.41853E-02,1.912E-01,7.082E-03
-4.41833E-02,1.521E-01,6.090E-03
-4.41813E-02,1.521E-01,5.842E-03
-4.41793E-02,1.716E-01,6.586E-03
-4.41773E-02,1.326E-01,5.594E-03
-4.41753E-02,1.521E-01,5.842E-03
-4.41732E-02,1.912E-01,6.090E-03
-4.41712E-02,1.716E-01,6.586E-03
-4.41692E-02,1.716E-01,5.842E-03
-4.41672E-02,1.326E-01,5.594E-03
-4.41652E-02,1.326E-01,5.594E-03
-4.41632E-02,1.521E-01,5.594E-03
-4.41612E-02,1.326E-01,5.594E-03
-4.41591E-02,1.912E-01,5.346E-03
-4.41571E-02,2.107E-01,6.338E-03
-4.41551E-02,2.107E-01,6.834E-03
-4.41531E-02,1.716E-01,5.842E-03
-4.41511E-02,2.302E-01,6.090E-03
-4.41491E-02,1.716E-01,6.090E-03
-4.41470E-02,2.107E-01,6.090E-03
-4.41450E-02,1.521E-01,5.842E-03
-4.41430E-02,1.521E-01,6.338E-03
-4.41410E-02,1.716E-01,6.090E-03
-4.41390E-02,1.912E-01,5.842E-03
-4.41370E-02,1.326E-01,5.842E-03
-4.41349E-02,2.302E-01,5.594E-03
-4.41329E-02,1.130E-01,5.842E-03
-4.41309E-02,1.716E-01,6.586E-03
-4.41289E-02,1.716E-01,6.090E-03
-4.41269E-02,2.302E-01,6.338E-03
-4.41249E-02,2.107E-01,6.338E-03
-4.41228E-02,1.716E-01,6.090E-03
-4.41208E-02,2.107E-01,5.842E-03
-4.41188E-02,1.716E-01,6.090E-03
-4.41168E-02,1.716E-01,6.090E-03
-4.41148E-02,1.912E-01,5.842E-03
-4.41128E-02,2.107E-01,5.346E-03
-4.41108E-02,1.326E-01,6.090E-03
-4.41087E-02,1.716E-01,5.842E-03
-4.41067E-02,1.716E-01,6.090E-03
-4.41047E-02,1.716E-01,6.090E-03
-4.41027E-02,1.912E-01,6.090E-03
-4.41007E-02,1.912E-01,6.090E-03
-4.40987E-02,1.716E-01,5.842E-03
-4.40966E-02,1.912E-01,5.842E-03
-4.40946E-02,1.912E-01,5.842E-03
-4.40926E-02,9.352E-02,5.842E-03
-4.40906E-02,1.716E-01,6.090E-03
-4.40886E-02,1.716E-01,6.338E-03
-4.40866E-02,1.716E-01,6.090E-03
-4.40845E-02,1.716E-01,5.842E-03
-4.40825E-02,2.107E-01,5.842E-03
-4.40805E-02,2.302E-01,5.842E-03
-4.40785E-02,2.107E-01,6.090E-03
-4.40765E-02,1.912E-01,6.586E-03
-4.40745E-02,1.716E-01,6.338E-03
-4.40724E-02,2.302E-01,6.090E-03
-4.40704E-02,1.521E-01,6.586E-03
-4.40684E-02,1.326E-01,6.090E-03
-4.40664E-02,1.716E-01,5.842E-03
-4.40644E-02,1.326E-01,6.090E-03
-4.40624E-02,1.912E-01,6.090E-03
-4.40604E-02,1.521E-01,6.586E-03
-4.40583E-02,1.716E-01,5.594E-03
-4.40563E-02,1.716E-01,6.090E-03
-4.40543E-02,1.521E-01,6.090E-03
-4.40523E-02,1.521E-01,6.586E-03
-4.40503E-02,2.107E-01,5.594E-03
-4.40483E-02,2.302E-01,6.090E-03
-4.40462E-02,1.326E-01,6.338E-03
-4.40442E-02,1.521E-01,6.090E-03
-4.40422E-02,2.107E-01,6.090E-03
-4.40402E-02,2.107E-01,5.842E-03
-4.40382E-02,1.326E-01,6.090E-03
-4.40362E-02,1.716E-01,6.090E-03
-4.40341E-02,1.326E-01,5.842E-03
-4.40321E-02,1.521E-01,6.090E-03
-4.40301E-02,1.912E-01,6.586E-03
-4.40281E-02,1.716E-01,5.594E-03
-4.40261E-02,2.302E-01,5.594E-03
-4.40241E-02,1.716E-01,6.090E-03
-4.40220E-02,1.130E-01,6.586E-03
-4.40200E-02,1.326E-01,6.090E-03
-4.40180E-02,2.302E-01,5.842E-03
-4.40160E-02,1.716E-01,4.850E-03
-4.40140E-02,1.912E-01,6.090E-03
-4.40120E-02,1.912E-01,6.090E-03
-4.40100E-02,1.716E-01,6.338E-03
-4.40079E-02,7.398E-02,5.594E-03
-4.40059E-02,1.716E-01,6.338E-03
-4.40039E-02,1.912E-01,6.090E-03
-4.40019E-02,2.498E-01,6.338E-03
-4.39999E-02,1.130E-01,5.842E-03
-4.39979E-02,1.521E-01,5.594E-03
-4.39958E-02,1.912E-01,6.090E-03
-4.39938E-02,1.912E-01,6.090E-03
-4.39918E-02,1.716E-01,5.842E-03
-4.39898E-02,1.716E-01,5.346E-03
-4.39878E-02,1.912E-01,5.842E-03
-4.39858E-02,2.302E-01,6.090E-03
-4.39837E-02,1.912E-01,6.090E-03
-4.39817E-02,2.302E-01,5.842E-03
-4.39797E-02,2.302E-01,6.090E-03
-4.39777E-02,1.912E-01,6.090E-03
-4.39757E-02,1.912E-01,5.842E-03
-4.39737E-02,1.130E-01,6.338E-03
-4.39716E-02,1.326E-01,5.842E-03
-4.39696E-02,1.912E-01,6.338E-03
-4.39676E-02,2.107E-01,5.346E-03
-4.39656E-02,1.912E-01,6.090E-03
-4.39636E-02,1.130E-01,6.090E-03
-4.39616E-02,1.326E-01,6.338E-03
-4.39596E-02,1.716E-01,6.090E-03
-4.39575E-02,1.716E-01,5.594E-03
-4.39555E-02,1.912E-01,5.842E-03
-4.39535E-02,1.912E-01,6.090E-03
-4.39515E-02,1.326E-01,6.090E-03
-4.39495E-02,1.716E-01,6.338E-03
-4.39475E-02,2.107E-01,6.090E-03
-4.39454E-02,1.521E-01,5.594E-03
-4.39434E-02,1.521E-01,5.594E-03
-4.39414E-02,1.326E-01,6.090E-03
-4.39394E-02,1.130E-01,6.338E-03
-4.39374E-02,1.716E-01,6.090E-03
-4.39354E-02,1.521E-01,6.090E-03
-4.39333E-02,1.912E-01,6.090E-03
-4.39313E-02,1.521E-01,6.090E-03
-4.39293E-02,2.302E-01,6.090E-03
-4.39273E-02,2.302E-01,5.842E-03
-4.39253E-02,1.326E-01,6.090E-03
-4.39233E-02,1.716E-01,6.338E-03
-4.39212E-02,1.521E-01,5.098E-03
-4.39192E-02,1.912E-01,6.338E-03
-4.39172E-02,2.107E-01,5.594E-03
-4.39152E-02,1.521E-01,6.586E-03
-4.39132E-02,1.130E-01,5.594E-03
-4.39112E-02,1.716E-01,6.090E-03
-4.39092E-02,1.912E-01,6.586E-03
-4.39071E-02,2.302E-01,5.594E-03
-4.39051E-02,1.716E-01,6.338E-03
-4.39031E-02,2.302E-01,6.090E-03
-4.39011E-02,2.302E-01,5.346E-03
-4.38991E-02,1.716E-01,6.586E-03
-4.38971E-02,1.716E-01,6.090E-03
-4.38950E-02,1.521E-01,6.586E-03
-4.38930E-02,1.521E-01,6.586E-03
-4.38910E-02,1.521E-01,6.090E-03
-4.38890E-02,1.521E-01,5.842E-03
-4.38870E-02,2.302E-01,5.346E-03
-4.38850E-02,2.107E-01,6.090E-03
-4.38829E-02,1.716E-01,5.594E-03
-4.38809E-02,2.302E-01,5.594E-03
-4.38789E-02,1.521E-01,6.090E-03
-4.38769E-02,2.107E-01,5.594E-03
-4.38749E-02,1.326E-01,5.594E-03
-4.38729E-02,2.107E-01,5.594E-03
-4.38708E-02,1.326E-01,6.586E-03
-4.38688E-02,1.326E-01,5.346E-03
-4.38668E-02,1.716E-01,5.842E-03
-4.38648E-02,1.521E-01,6.586E-03
-4.38628E-02,1.521E-01,6.090E-03
-4.38608E-02,1.912E-01,6.090E-03
-4.38588E-02,1.716E-01,6.338E-03
-4.38567E-02,1.326E-01,6.090E-03
-4.38547E-02,1.716E-01,6.338E-03
-4.38527E-02,1.716E-01,5.594E-03
-4.38507E-02,1.326E-01,6.586E-03
-4.38487E-02,1.716E-01,6.090E-03
-4.38467E-02,1.716E-01,6.090E-03
-4.38446E-02,1.716E-01,5.594E-03
-4.38426E-02,1.716E-01,6.338E-03
-4.38406E-02,1.326E-01,6.090E-03
-4.38386E-02,1.716E-01,5.594E-03
-4.38366E-02,1.912E-01,6.090E-03
-4.38346E-02,1.912E-01,5.842E-03
-4.38325E-02,1.716E-01,6.586E-03
-4.38305E-02,2.302E-01,6.090E-03
-4.38285E-02,1.326E-01,6.586E-03
-4.38265E-02,2.498E-01,6.586E-03
-4.38245E-02,1.521E-01,5.098E-03
-4.38225E-02,1.912E-01,6.090E-03
-4.38204E-02,1.326E-01,5.594E-03
-4.38184E-02,1.912E-01,5.842E-03
-4.38164E-02,2.498E-01,5.594E-03
-4.38144E-02,1.912E-01,5.098E-03
-4.38124E-02,1.912E-01,5.594E-03
-4.38104E-02,1.716E-01,6.338E-03
-4.38084E-02,1.716E-01,5.594E-03
-4.38063E-02,1.130E-01,6.090E-03
-4.38043E-02,1.912E-01,5.098E-03
-4.38023E-02,1.912E-01,6.834E-03
-4.38003E-02,1.912E-01,5.842E-03
-4.37983E-02,1.912E-01,5.594E-03
-4.37963E-02,1.716E-01,5.842E-03
-4.37942E-02,1.716E-01,5.098E-03
-4.37922E-02,1.521E-01,6.090E-03
-4.37902E-02,1.716E-01,5.098E-03
-4.37882E-02,1.912E-01,6.338E-03
-4.37862E-02,1.326E-01,6.090E-03
-4.37842E-02,1.521E-01,5.842E-03
-4.37821E-02,1.716E-01,5.594E-03
-4.37801E-02,1.912E-01,6.090E-03
-4.37781E-02,1.716E-01,6.090E-03
-4.37761E-02,2.302E-01,6.090E-03
-4.37741E-02,2.107E-01,6.586E-03
-4.37721E-02,1.716E-01,6.090E-03
-4.37700E-02,1.716E-01,5.346E-03
-4.37680E-02,1.716E-01,5.594E-03
-4.37660E-02,1.912E-01,5.594E-03
-4.37640E-02,1.716E-01,5.842E-03
-4.37620E-02,1.716E-01,5.842E-03
-4.37600E-02,1.912E-01,6.090E-03
-4.37580E-02,1.521E-01,5.098E-03
-4.37559E-02,1.912E-01,5.842E-03
-4.37539E-02,1.912E-01,6.090E-03
-4.37519E-02,1.716E-01,5.594E-03
-4.37499E-02,1.912E-01,5.346E-03
-4.37479E-02,1.716E-01,6.090E-03
-4.37459E-02,1.912E-01,5.098E-03
-4.37438E-02,2.302E-01,5.842E-03
-4.37418E-02,2.107E-01,6.090E-03
-4.37398E-02,2.107E-01,6.586E-03
-4.37378E-02,2.302E-01,6.090E-03
